experiment,model,batch_size,acquisition_function,500,1000,1500,2000,2500,3000,3500
Experiment_0,RandomForestRegressor,500,RandomSearch,0.6,1.7999999999999998,2.6,4.0,5.4,5.800000000000001,6.6000000000000005
Experiment_1,RandomForestRegressor,500,RandomSearch,0.6,1.6,2.4,3.8,4.8,5.800000000000001,7.000000000000001
Experiment_2,RandomForestRegressor,500,RandomSearch,0.6,1.0,1.6,2.4,3.2,4.6,5.4
Experiment_3,RandomForestRegressor,500,RandomSearch,1.6,1.7999999999999998,3.4000000000000004,3.8,5.6000000000000005,5.800000000000001,7.3999999999999995
Experiment_4,RandomForestRegressor,500,RandomSearch,0.2,1.4000000000000001,2.1999999999999997,3.0,4.8,5.6000000000000005,7.000000000000001
Experiment_0,RandomForestRegressor,500,Greedy,1.4000000000000001,24.8,38.6,52.2,58.199999999999996,65.0,69.0
Experiment_1,RandomForestRegressor,500,Greedy,1.2,23.0,38.4,49.8,59.8,66.60000000000001,71.8
Experiment_2,RandomForestRegressor,500,Greedy,1.0,26.0,36.199999999999996,48.199999999999996,55.400000000000006,65.0,70.0
Experiment_3,RandomForestRegressor,500,Greedy,1.6,27.6,39.800000000000004,50.4,61.199999999999996,67.80000000000001,72.2
Experiment_4,RandomForestRegressor,500,Greedy,0.2,26.6,40.400000000000006,49.8,58.8,65.2,71.6
Experiment_0,RandomForestRegressor,500,UBC,1.0,19.8,34.2,45.2,51.800000000000004,57.199999999999996,63.4
Experiment_1,RandomForestRegressor,500,UBC,0.8,14.799999999999999,29.2,40.8,50.0,56.39999999999999,58.4
Experiment_2,RandomForestRegressor,500,UBC,0.8,21.0,37.4,45.6,53.2,57.599999999999994,62.6
Experiment_3,RandomForestRegressor,500,UBC,0.8,21.4,36.8,45.6,49.4,56.39999999999999,61.8
Experiment_4,RandomForestRegressor,500,UBC,1.6,23.200000000000003,33.800000000000004,42.6,52.2,58.4,64.8
Experiment_0,NN,500,RandomSearch,2.0,2.8000000000000003,4.0,4.2,5.0,5.2,6.0
Experiment_1,NN,500,RandomSearch,0.6,1.7999999999999998,3.2,5.2,6.6000000000000005,7.6,8.799999999999999
Experiment_2,NN,500,RandomSearch,1.0,2.1999999999999997,3.2,4.0,4.2,5.2,6.0
Experiment_3,NN,500,RandomSearch,1.6,2.4,3.5999999999999996,4.3999999999999995,5.2,5.800000000000001,6.4
Experiment_4,NN,500,RandomSearch,1.4000000000000001,2.1999999999999997,3.5999999999999996,4.3999999999999995,5.800000000000001,6.4,7.3999999999999995
Experiment_0,NN,500,Greedy,1.2,31.6,48.0,56.8,62.8,69.0,73.2
Experiment_1,NN,500,Greedy,0.0,26.0,47.4,56.8,64.8,69.6,73.4
Experiment_2,NN,500,Greedy,1.0,32.2,44.4,55.800000000000004,64.0,71.8,75.4
Experiment_3,NN,500,Greedy,0.6,32.2,48.0,56.99999999999999,62.4,68.0,71.6
Experiment_4,NN,500,Greedy,1.7999999999999998,32.0,44.6,52.400000000000006,60.8,68.0,73.0
